CRASH TIME (HRS),DATE,DAY,LOCATION,PROBABLE CAUSE(S) OF RTC,ROUTE,VEHICLE CATEGORY,VEHICLE CLASS,Timestamp,month,X    ,Y
1020,07/11/2017,TUE,KM21-IDI EMI VILLAGE,BFL,OGB-OYO,TNK/    TNK,COMM/   COMM,8/22/2017 12:00,7,3.93098,7.8586602
1406,11/27/2017,MON,KM12-ALAIDAN VILLAGE,SPV,OYO-OGB,TRK/   TRK,COMM/    COMM,1/24/2018 14:00,11,3.95316,7.8392
428,11/29/2017,WED,KM15-ALAYIN VILLAGE,SOS,OGB-OYO,TNK/     BUS,COMM/    COMM,12/16/2017 20:00,11,3.9898701,7.8681202
944,12/15/2017,FRI,KM33-LAWYER VILLAGE,WOV,OYO-OGB,TRK/  TRK/    CAR,COMM/    COMM/   PVT,1/23/2018 8:00,12,3.9721401,7.8398099
1015,12/18/2017,MON,KM2-PACIFIC ACADEMY,LOC,OYO-OGB,TRK,COMM,1/29/2018 7:00,12,3.9740901,7.85466
445,12/19/2017,TUE,5KM 4RM IBD-DEEPER LIFE,"WOV,OVL",OYO-IBD,TRL,COMM,01/06/2018 13:00,12,4.0026002,7.87676
845,12/20/2017,WED,KM7-OMOTUNDE AREA,MDV,OYO-IBD,TRK,COMM,1/24/2018 5:00,12,4.0152102,7.90413
1340,12/21/2017,THU,KM17-ABA LAWYER,WOV,OYO-OGB,CAR/  CAR,PVT/ COMM,2/14/2018 20:00,12,3.9880099,7.8997102
2040,12/22/2017,FRI,KM12-IBAPON VILLAGE,SPV,OGB-OYO,TRK/   TRK,COMM/  COMM,3/17/2018 0:00,12,3.9880099,7.8997102
1320,12/23/2017,SAT,KM2.5-AJE IYA FUEL STATE,SPV,OGB-OYO,TRL/    CAR,COMM/    PVT,2/16/2018 0:00,12,3.95698,7.8759599
720,12/26/2017,TUE,KM20-AKINYELE TRL PARK,SPV,IBD-OYO,BUS/       TRL,COMM/   COMM,1/25/2018 0:00,12,3.9991701,7.9088602
1300,12/28/2017,THU,KM20-IPEBA VILLAGE,SPV,OGB-OYO,BUS/    TRK/    TRL,PVT/  COMM/   COMM,2/20/2018 4:00,12,4.0331202,7.9307799
1510,12/29/2017,FRI,KM40-OWOYO VILLAGE,WOV,OYO-OGB,TRK/   BUS,COMM/   PVT,03/01/2018 22:00,12,4.08006,7.9584899
1121,03/01/2018,WED,KM7-IBAPON,SPV,OGB-OYO,P.UP,COMM,4/16/2018 17:00,3,4.0883999,7.9744301
1425,04/01/2018,THU,KM2-ODO ASHIPA VILLAGE,WOV,OYO-OGB,TNK/   P.UP/  VAN,COMM/    COMM/   COMM,5/30/2018 9:00,4,4.06004,7.9481001
1650,06/01/2018,SAT,KM3-FED LOW COST HOUSING,WOV,OYO-OGB,TNK/     CAR,COMM/   PVT,08/08/2018 18:00,6,4.1017699,8
325,07/01/2018,SUN,KM5-AGRIC,SPV,OGB-OYO,BUS,PVT,7/14/2018 13:00,7,4.1174302,8.0326996
740,10/01/2018,WED,KM7-DEPEER LIFE AREA,SPV,IBD-OYO,CAR,COMM,10/31/2018 20:00,10,4.0480599,7.9403901
930,10/01/2018,WED,KM5-TOSHE AREA,"SPV,DGD",IBD-OYO,TNK/        BUS,COMM/    GOVT,11/08/2018 18:00,10,3.9221001,7.6523499
1150,12/01/2018,FRI,OLD RD BY BANK JCTN,"SPV,TBT",IBD-OYO,CAR/  CAR,PVT/   PVT,1/17/2019 22:00,12,3.90974,7.5379
1940,1/15/2018,MON,4KM 4RM IBD-NNPC JCTN,"SPV,DGD",OYO-IBD,BUS,COMM,04/05/2018 20:00,1,3.93327,7.52601
1625,1/17/2018,WED,KM10-AROJE EXPRESS,SPV,OGB-ILN,P.UP/      SUV,PVT/   PVT,3/25/2018 17:00,1,3.9133101,7.4954
600,1/22/2018,MON,10KM 4RM IBD-ABE ODO,"SPV,DGD",OYO-IBD,CAR/    BUS/     CAR/      TRL/       TRK/      TRL/   TRL,PVT/    PVT/    COMM/    COMM/       COMM/      COMM/      COMM,2/16/2018 0:00,1,3.9001701,7.3705602
1630,1/24/2018,WED,KM21-BUSARI VILLAGE,"DGD,BRD",OYO-OGB,BUS/    TNK,COMM/  COMM,04/01/2018 22:00,1,3.89533,7.3859801
1705,1/27/2018,SAT,KM12-ISANLA VILLAGE,SPV,OGB-OYO,BUS/    BUS,COMM/  COMM,04/08/2018 01:00,1,3.8990099,7.4140801
752,1/28/2018,SUN,KM4-CUSTOMS AREA,WOV,OYO-OGB,TNK/    MC,COMM/    COMM,2/28/2018 8:00,1,3.90991,7.4373102
900,1/30/2018,TUE,KM1-DURBAR AREA,WOV,OYO-OGB,CAR/    MC,PVT/         COMM,03/08/2018 12:00,1,3.914,7.4647498
910,08/02/2018,THU,KM9-SEKONA,WOV,OGB-OYO,CAR,PVT,09/08/2018 22:00,8,3.90871,7.5760398
355,09/02/2018,FRI,KM17-ONIGARI,WOV,OYO-OGB,TNK/    BUS,COMM/   COMM,9/16/2018 19:00,9,3.9181499,7.6170301
1255,2/14/2018,WED,KM10.3-IDODE VILLAGE,"WOV,SPV",OYO-OGB,BUS/    BUS,COMM/  COMM,04/07/2018 07:00,2,3.97263,7.7214398
